m64004_210929_143746	96plex	/home/shuaiw/methylation/data/ZymoTrumatrix/2021-11-Microbial-96plex/m64004_210929_143746.hifi_reads.bam    96plex
RuReacBro_20230708_11_72h_200ppm_r1_LR	cow_bioreactor_1	/home/shuaiw/borg/paper/aws/cow_bioreactor/RuReacBro_20230708_11_72h_200ppm_r1_LR.hifi_reads.bam    cow_bioreactor
RuReacBro_20230708_26_72h_NC_r4_LR	cow_bioreactor_2	/home/shuaiw/borg/paper/aws/cow_bioreactor/RuReacBro_20230708_26_72h_NC_r4_LR.hifi_reads.bam    cow_bioreactor
XSDIA_20240410_R84050_PL8707-001_1-1-A01_bc2007-bc2007	cow_bioreactor_3	/home/shuaiw/borg/paper/aws/cow_bioreactor/XSDIA_20240410_R84050_PL8707-001_1-1-A01_bc2007-bc2007.hifi_reads.bam   cow_bioreactor
XSDIA_20240410_R84050_PL8708-001_1-1-A01_bc2008-bc2008	cow_bioreactor_4	/home/shuaiw/borg/paper/aws/cow_bioreactor/XSDIA_20240410_R84050_PL8708-001_1-1-A01_bc2008-bc2008.hifi_reads.bam    cow_bioreactor
XSDIA_20240410_R84050_PL8709-001_1-1-A01_bc2096-bc2096	cow_bioreactor_5	/home/shuaiw/borg/paper/aws/cow_bioreactor/XSDIA_20240410_R84050_PL8709-001_1-1-A01_bc2096-bc2096.hifi_reads.bam    cow_bioreactor
RuReacBro_20230708_Comb_RF_LR	cow_1	/home/shuaiw/borg/paper/aws/cow/RuReacBro_20230708_Comb_RF_LR.hifi_reads.bam    cow
ERR12723528	ERR12723528_mice	/home/shuaiw/borg/paper/aws/ERR12723528/ERR12723528.ccs.bam    mice
ERR12723529	ERR12723529_mice	/home/shuaiw/borg/paper/aws/ERR12723529/ERR12723529.ccs.bam    mice
ERR5621427	ERR5621427_sludge	/home/shuaiw/borg/paper/aws/ERR5621427/ERR5621427.ccs.bam   sludge
ERR5621429	ERR5621429_sludge	/home/shuaiw/borg/paper/aws/ERR5621429/ERR5621429.ccs.bam   sludge
ERR5621430	ERR5621430_sludge	/home/shuaiw/borg/paper/aws/ERR5621430/ERR5621430.ccs.bam   sludge
NANO_2_INF1240037_3G1_pacbio	infant_1	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1240037_3G1_pacbio.bam   infant
NANO_2_INF1240040_2G1_pacbio	infant_2	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1240040_2G1_pacbio.bam   infant
NANO_2_INF1240040_3G1_pacbio	infant_3	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1240040_3G1_pacbio.bam   infant
NANO_2_INF1240040_4G1_pacbio	infant_4	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1240040_4G1_pacbio.bam   infant
NANO_2_INF1310010_2G1_pacbio	infant_5	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1310010_2G1_pacbio.bam   infant
NANO_2_INF1310010_3G1_pacbio	infant_6	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1310010_3G1_pacbio.bam   infant
NANO_2_INF1330001_4G1_pacbio	infant_7	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1330001_4G1_pacbio.bam   infant
NANO_2_INF1330004_3G1_pacbio	infant_8	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1330004_3G1_pacbio.bam   infant
NANO_2_INF1330004_4G1_pacbio	infant_9	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1330004_4G1_pacbio.bam   infant
NANO_2_INF1340011_2G1_pacbio	infant_10	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1340011_2G1_pacbio.bam   infant
NANO_2_INF1340011_3G1_pacbio	infant_11	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1340011_3G1_pacbio.bam   infant
NANO_2_INF1340011_4G1_pacbio	infant_12	/home/shuaiw/borg/paper/aws/infant/NANO_2_INF1340011_4G1_pacbio.bam   infant
NANO_2_MAT1240037_2G1_pacbio	infant_13	/home/shuaiw/borg/paper/aws/infant/NANO_2_MAT1240037_2G1_pacbio.bam   infant
NANO_3_INF1240040_5G1_pacbio	infant_14	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1240040_5G1_pacbio.bam   infant
NANO_3_INF1240040_6G1_pacbio	infant_15	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1240040_6G1_pacbio.bam   infant
NANO_3_INF1310001_8G1_pacbio	infant_16	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1310001_8G1_pacbio.bam   infant
NANO_3_INF1310007_7G1_pacbio	infant_17	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1310007_7G1_pacbio.bam   infant
NANO_3_INF1330004_5G1_pacbio	infant_18	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1330004_5G1_pacbio.bam   infant
NANO_3_INF1330004_7G1_pacbio	infant_19	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1330004_7G1_pacbio.bam   infant
NANO_3_INF1330004_8G1_pacbio	infant_20	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1330004_8G1_pacbio.bam   infant
NANO_3_INF1340008_8G1_pacbio	infant_21	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1340008_8G1_pacbio.bam   infant
NANO_3_INF1340011_6G1_pacbio	infant_22	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1340011_6G1_pacbio.bam   infant
NANO_3_INF1340011_7G1_pacbio	infant_23	/home/shuaiw/borg/paper/aws/infant/NANO_3_INF1340011_7G1_pacbio.bam   infant
NANO_4_INF1240043_5G1_pacbio	infant_24	/home/shuaiw/borg/paper/aws/infant/NANO_4_INF1240043_5G1_pacbio.bam   infant
NANO_4_INF1240045_6G1_pacbio	infant_25	/home/shuaiw/borg/paper/aws/infant/NANO_4_INF1240045_6G1_pacbio.bam   infant
NANO_4_INF1240119_7G1_pacbio	infant_26	/home/shuaiw/borg/paper/aws/infant/NANO_4_INF1240119_7G1_pacbio.bam   infant
NANO_4_INF1330101_8G1_pacbio	infant_27	/home/shuaiw/borg/paper/aws/infant/NANO_4_INF1330101_8G1_pacbio.bam   infant
NANO_4_INF1340021_5G1_pacbio	infant_28	/home/shuaiw/borg/paper/aws/infant/NANO_4_INF1340021_5G1_pacbio.bam   infant
pbio-2857	ocean_1	/home/shuaiw/borg/paper/aws/ocean/pbio-2857.29455.bc1003_BAK8A_OA--bc1003_BAK8A_OA.hifi_reads.bc1003_BAK8A_OA.ccs.bam   ocean
m84039_230624_013044_s3_bc2021	soil_s3_1	/home/shuaiw/borg/paper/aws/soil/m84039_230624_013044_s3.hifi_reads.bc2021.bam   soil
m84039_230624_013044_s3_bc2023	soil_s3_2	/home/shuaiw/borg/paper/aws/soil/m84039_230624_013044_s3.hifi_reads.bc2023.bam   soil
m84039_230626_214113_s4_bc2022	soil_s4_1	/home/shuaiw/borg/paper/aws/soil/m84039_230626_214113_s4.hifi_reads.bc2022.bam   soil
m84039_230626_214113_s4_bc2024	soil_s4_2	/home/shuaiw/borg/paper/aws/soil/m84039_230626_214113_s4.hifi_reads.bc2024.bam   soil
m84039_230626_221130_s1_bc2025	soil_s1_1	/home/shuaiw/borg/paper/aws/soil/m84039_230626_221130_s1.hifi_reads.bc2025.bam   soil
m84039_230626_221130_s1_bc2026	soil_s1_2	/home/shuaiw/borg/paper/aws/soil/m84039_230626_221130_s1.hifi_reads.bc2026.bam   soil
XRSBK_20221007_S64018_PL100268287-1_C01	soil_1	/home/shuaiw/borg/paper/aws/soil/XRSBK_20221007_S64018_PL100268287-1_C01.ccs.bam   soil
SRR14074352	SRR14074352_human	/home/shuaiw/borg/paper/aws/SRR14074352/SRR14074352.ccs.bam   human
SRR23446539	SRR23446539_sugarcane	/home/shuaiw/borg/paper/aws/SRR23446539/SRR23446539.ccs.bam   sugarcane
SRR23446540	SRR23446540_sugarcane	/home/shuaiw/borg/paper/aws/SRR23446540/SRR23446540.ccs.bam   sugarcane
